"类别","中文名称","英文名称","Wiki页面","Wiki文件页","原图URL","仓库图片","文件许可","文件页来源","Wiki上传账号","SHA-256","分发状态"
"主武器","MP-98 骑士","MP-98 Knight","https://helldivers.wiki.gg/wiki/MP-98_Knight","https://helldivers.wiki.gg/wiki/File:MP-98_Knight_Primary_Render.png","https://helldivers.wiki.gg/images/MP-98_Knight_Primary_Render.png?4573f0","images/primary/mp-98-knight.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","bf8f3ba7243ceccfd30a2c57872c1d8650af3f27633fe340e6b4ad351cc9d7c6","included-cc-by-nc-sa-4.0"
"主武器","PLAS-1 焦土","PLAS-1 Scorcher","https://helldivers.wiki.gg/wiki/PLAS-1_Scorcher","https://helldivers.wiki.gg/wiki/File:PLAS-1_Scorcher_Primary_Render.png","https://helldivers.wiki.gg/images/PLAS-1_Scorcher_Primary_Render.png?732708","images/primary/plas-1-scorcher.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","d66200718f6ee3bdec0ba17fbc89fab743500aab03b60cb3b26017a5d988ed8f","included-cc-by-nc-sa-4.0"
"主武器","PLAS-101 净化者","PLAS-101 Purifier","https://helldivers.wiki.gg/wiki/PLAS-101_Purifier","https://helldivers.wiki.gg/wiki/File:PLAS-101_Purifier_Primary_Render.png","https://helldivers.wiki.gg/images/PLAS-101_Purifier_Primary_Render.png?c08896","images/primary/plas-101-purifier.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","c5e8eaa5d022d7e14e99f0f1113511106809e8ab6b3239f87d00aabab6da282a","included-cc-by-nc-sa-4.0"
"主武器","PLAS-39 加速步枪","PLAS-39 Accelerator Rifle","https://helldivers.wiki.gg/wiki/PLAS-39_Accelerator_Rifle","https://helldivers.wiki.gg/wiki/File:PLAS-39_Accelerator_Rifle_Primary_Render.png","https://helldivers.wiki.gg/images/PLAS-39_Accelerator_Rifle_Primary_Render.png?a8ff98","images/primary/plas-39-accelerator-rifle.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","a821271a2548a5eac40c6a835d022f2f34fa1f62933832f38eb02ea7e11b4fb3","included-cc-by-nc-sa-4.0"
"主武器","R-2 修正案","R-2 Amendment","https://helldivers.wiki.gg/wiki/R-2_Amendment","https://helldivers.wiki.gg/wiki/File:R-2_Amendment_Primary_Render.png","https://helldivers.wiki.gg/images/R-2_Amendment_Primary_Render.png?804c0c","images/primary/r-2-amendment.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","bfc1592de4ed6be5bb0d2266e59859473c7bde74dd26e2a56c2e335fb173d90c","included-cc-by-nc-sa-4.0"
"主武器","R-2124 宪法","R-2124 Constitution","https://helldivers.wiki.gg/wiki/R-2124_Constitution","https://helldivers.wiki.gg/wiki/File:R-2124_Constitution_Primary_Render.png","https://helldivers.wiki.gg/images/R-2124_Constitution_Primary_Render.png?5afe2d","images/primary/r-2124-constitution.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","541b0d13c4d27febae7dfbe88444fe36206751a4591bf64ca22414ad36b053cc","included-cc-by-nc-sa-4.0"
"主武器","R-36 喷发者","R-36 Eruptor","https://helldivers.wiki.gg/wiki/R-36_Eruptor","https://helldivers.wiki.gg/wiki/File:R-36_Eruptor_Primary_Render.png","https://helldivers.wiki.gg/images/R-36_Eruptor_Primary_Render.png?2c6f66","images/primary/r-36-eruptor.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","5f96c1facefc597789aceb596be7fa8ed3326a2f9fe6c857663bd608e5efd3f1","included-cc-by-nc-sa-4.0"
"主武器","R-6 死眼","R-6 Deadeye","https://helldivers.wiki.gg/wiki/R-6_Deadeye","https://helldivers.wiki.gg/wiki/File:R-6_Deadeye_Primary_Render.png","https://helldivers.wiki.gg/images/R-6_Deadeye_Primary_Render.png?85d99d","images/primary/r-6-deadeye.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","9c0fccb7565f539e9f6673e73fb5cf2102b40b3174ce4b7f8d56d315eec30452","included-cc-by-nc-sa-4.0"
"主武器","R-63 勤勉","R-63 Diligence","https://helldivers.wiki.gg/wiki/R-63_Diligence","https://helldivers.wiki.gg/wiki/File:R-63_Diligence_Primary_Render.png","https://helldivers.wiki.gg/images/R-63_Diligence_Primary_Render.png?69ed5c","images/primary/r-63-diligence.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","fa8c582ebbe2853f20e197b942015de0f31f79f4fd269ee0b896ac27644e76e1","included-cc-by-nc-sa-4.0"
"主武器","R-63CS 反狙勤勉","R-63CS Diligence Counter Sniper","https://helldivers.wiki.gg/wiki/R-63CS_Diligence_Counter_Sniper","https://helldivers.wiki.gg/wiki/File:R-63CS_Diligence_Counter_Sniper_Primary_Render.png","https://helldivers.wiki.gg/images/R-63CS_Diligence_Counter_Sniper_Primary_Render.png?3ff844","images/primary/r-63cs-diligence-counter-sniper.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","0f56c560f988e125d7789d14c271a2b3d1d1b3f1614ecc1a83f901933ba62260","included-cc-by-nc-sa-4.0"
